sample_name,POLR3GL,KLHL5,BLNK,SOX4,UBE2S,HSPA2,S100P,DEFB132,MICB,GNS,BIRC5,PREX1,FBXL16,CFB,TRIM45,GPAM,MTHFD1,CEBPA,CEBPD,STAT5A,PRLR,S100B,DENND1B
GSM1045302,4.783598,3.766815,3.436055,7.685606,4.628403,4.527717,7.730658,3.015358,6.186119,5.072203,6.087132,5.854824,4.968077,6.178214,5.009614,4.099082,6.003064,5.407235,6.273948,5.682018,4.839731,2.974567,4.813534
GSM1045303,7.062879,5.228135,6.241289,8.029263,6.686465,6.412186,6.285497,2.892083,7.720021,6.324297,5.951981,7.542257,5.04428,5.967808,6.917238,7.08786,7.100034,6.467603,5.671336,6.53452,5.900917,3.033631,5.015549
GSM1045304,7.150907,5.05121,8.335121,7.620586,6.952777,8.706147,6.035035,2.888519,7.524671,7.358674,5.304641,9.674283,5.763307,6.513816,6.908344,6.047739,7.45387,6.854272,6.582274,6.675908,5.073065,2.958071,4.827364
GSM1045305,6.531402,4.361465,6.593723,7.627017,6.661898,7.287337,5.256042,3.363327,6.590891,6.32148,5.842879,9.489606,5.19597,8.383634,6.050697,4.441309,7.708973,6.540638,6.398592,5.943554,4.547619,2.992013,5.939379
GSM1045306,6.395151,4.897295,6.814447,7.800828,5.408661,4.497709,10.257752,2.807869,5.738961,7.04628,5.965195,6.133744,4.658448,6.081849,5.489076,5.769099,6.52899,6.81705,5.257169,6.620836,5.146905,2.83781,6.108605
GSM1045307,7.864831,5.314436,7.249819,8.136642,5.353391,8.772277,7.812534,2.843399,5.113089,6.839905,4.854839,8.668618,5.264395,6.837264,6.263077,6.901059,7.568942,6.668711,6.993945,7.137046,5.191133,3.254834,4.857707
GSM1045308,8.431886,5.696387,5.722825,8.053191,4.538992,9.144221,9.702065,2.795955,5.890511,6.388202,4.609647,9.294325,5.862466,7.46476,7.257194,6.424942,7.123962,6.026902,6.225482,7.16247,5.590796,3.122296,6.259888
GSM1045309,7.617776,4.093304,6.844991,7.571158,4.286536,8.775248,6.898026,2.997891,7.052636,6.250751,5.256475,8.158611,5.642183,8.028844,6.385612,6.746364,7.657855,6.478711,5.513348,6.858691,4.590059,2.779924,4.569291
GSM1045310,8.212214,4.948035,5.083508,7.607175,5.416381,8.821654,11.323079,2.875505,5.365579,7.337148,5.217577,9.537414,6.370096,6.667033,7.190502,5.865461,8.576726,6.441624,7.949956,6.958527,5.355569,2.734282,6.736649
GSM1045311,8.01074,6.579429,6.879163,7.864166,5.775663,6.998595,9.374094,2.815343,5.509765,6.931733,5.261946,7.577172,5.84713,7.145095,6.954893,7.11188,7.627725,6.959338,6.939522,6.774805,5.468985,3.393152,5.913755
