sample_name,POLR3GL,KLHL5,BLNK,SOX4,UBE2S,HSPA2,S100P,DEFB132,MICB,GNS,BIRC5,PREX1,FBXL16,CFB,TRIM45,GPAM,MTHFD1,CEBPA,CEBPD,STAT5A,PRLR,S100B,DENND1B
GSM1045221,5.267043,3.961301,4.575222,8.120276,4.882627,4.769614,11.567765,3.076448,4.62357,5.64683,6.062898,5.19828,5.807438,6.171376,5.590106,4.521147,6.757453,5.808208,6.348085,5.984803,3.990121,3.294368,4.812314
GSM1045222,6.908558,4.507969,7.611844,7.888933,5.125323,7.354633,6.439156,2.767319,5.846872,6.414997,5.854623,5.796985,4.706511,6.223037,6.319177,6.371843,7.060485,6.369969,5.67431,6.56347,4.717609,3.521487,5.382124
GSM1045223,8.243478,5.06384,7.066452,7.781569,5.144537,7.362358,8.250278,6.818445,5.502564,7.625849,4.749218,8.556145,4.869627,6.305831,6.028849,10.784381,8.221426,8.92168,7.552236,7.698854,5.682448,4.725413,5.604907
GSM1045224,6.440522,4.204314,6.804629,8.054634,8.017545,5.391835,7.149343,2.52356,8.507519,6.649729,7.013839,8.769559,5.255776,6.8683,5.360677,4.670824,7.044486,8.097547,6.246571,7.951911,4.716089,3.477345,4.941053
GSM1045225,6.725941,4.445765,4.202514,7.990784,5.975219,6.488776,9.738071,2.688825,5.35625,5.447405,5.833523,6.016249,4.377369,6.216535,7.140566,5.849486,7.272724,6.201637,5.788299,5.970759,3.67649,3.105919,3.892487
GSM1045226,7.323375,6.476986,7.234855,7.39131,4.642266,6.799283,8.295683,3.09792,6.881516,6.762965,4.73126,8.298132,5.764687,7.352392,6.450118,6.158528,7.19129,6.758051,6.337109,6.57424,5.283624,3.009621,5.234052
GSM1045227,6.080445,4.090048,6.4377,7.003024,6.270791,4.594162,7.084223,2.670798,5.887011,6.761389,6.889206,7.18199,4.156876,6.143035,5.038455,5.25625,7.88393,6.728489,5.408966,6.675115,5.014374,2.915829,4.489214
GSM1045228,7.556963,4.382629,6.364894,7.597519,4.825422,6.418851,9.529381,3.13356,7.287048,6.8648,5.493306,9.831983,5.869478,7.020995,6.609246,6.577777,7.162968,7.271636,5.693467,6.54355,4.898476,2.9459,6.912729
GSM1045229,7.637487,4.631001,6.872798,7.557285,5.953804,7.831117,9.833908,2.729386,7.423347,7.002815,5.975849,7.189464,5.050115,6.18294,5.681126,5.056413,7.773575,6.287786,6.787195,7.281573,4.123309,2.844049,4.738693
GSM1045230,9.074152,5.649716,7.202353,6.965648,6.608301,8.909328,8.570625,2.456037,8.301785,7.331988,6.032267,6.960422,5.067632,6.11297,6.928273,5.815696,7.792836,6.043539,5.96087,6.537166,5.004154,2.918382,7.338038
GSM1045231,7.729953,4.51849,7.494998,7.523351,5.945349,7.528848,11.246488,2.60188,8.598246,7.088904,6.183564,7.726482,5.561302,8.260517,5.034322,4.834494,7.56766,8.192469,6.220565,7.744889,4.907779,3.030998,6.091473
GSM1045232,7.396084,5.675784,8.176911,7.1107,5.499969,6.582994,10.905601,2.805635,4.847497,6.724362,6.138787,7.092239,5.015013,5.508385,6.778089,6.194373,8.128111,7.542113,6.468169,6.194899,4.730436,2.939742,7.097924
GSM1045233,6.334595,4.779381,6.006544,8.05008,5.466325,7.565252,8.592396,3.122057,7.97177,7.111135,5.078959,8.078998,5.255372,6.202964,5.895258,5.264859,6.80392,6.638635,6.012945,6.293117,5.66038,2.791413,4.533675
GSM1045234,7.802419,5.422781,4.577004,7.71601,5.569773,8.255157,10.186424,3.17273,5.213435,7.145948,6.570867,6.087143,4.919398,6.544787,5.797408,6.556076,7.957793,5.890799,6.294216,6.268533,5.475083,2.673725,5.635436
