gene,beta,HR,HR_lower_95,HR_upper_95,p_value
PIK3CA,0.3746,1.4545,0.6328,3.343,0.3776
SFN,0.1332,1.1425,0.8459,1.543,0.3851
IL6,-0.2513,0.7778,0.4373,1.3836,0.3925
ANGPT1,-0.3664,0.6932,0.2973,1.6165,0.3963
CD14,0.0941,1.0987,0.882,1.3686,0.401
AP1M2,-0.1233,0.884,0.658,1.1877,0.4133
MMP1,0.0488,1.05,0.9333,1.1813,0.4171
LTF,-0.047,0.9541,0.8515,1.069,0.4178
GHR,-0.0833,0.9201,0.7516,1.1263,0.4194
MYO1C,-0.3074,0.7354,0.3452,1.5667,0.4258
EZH2,0.1148,1.1216,0.8448,1.4892,0.4274
CD300LG,-0.4918,0.6115,0.1778,2.1032,0.4352
SDC4,-0.121,0.886,0.651,1.206,0.4417
MAPK10,-0.3608,0.6971,0.2759,1.7616,0.4456
F13A1,-0.1112,0.8948,0.6718,1.1917,0.447
PDP2,0.4004,1.4925,0.5294,4.2077,0.4489
LPCAT1,0.1443,1.1552,0.7945,1.6797,0.4499
INHBA,-0.136,0.8728,0.6113,1.2463,0.4542
TUBA4A,0.1056,1.1113,0.841,1.4685,0.4579
BTBD6,0.2072,1.2302,0.7088,2.1351,0.4614
TPD52,-0.1013,0.9037,0.69,1.1835,0.4618
TRPM4,0.1255,1.1337,0.8059,1.5948,0.471
FANCL,0.1509,1.1629,0.7685,1.7596,0.4752
CCL8,0.073,1.0757,0.88,1.3149,0.4762
MMP3,0.0727,1.0754,0.8804,1.3137,0.4764
ATP6V0B,0.1166,1.1236,0.8129,1.5531,0.4803
MMP28,-0.4159,0.6597,0.207,2.1027,0.4819
EIF2B3,0.1851,1.2033,0.7173,2.0187,0.4832
SH3KBP1,-0.1379,0.8712,0.5921,1.2818,0.484
TMEM126A,-0.1099,0.896,0.6576,1.2207,0.4863
UBE2E2,0.1137,1.1204,0.8131,1.5437,0.487
FYN,-0.1387,0.8705,0.5883,1.2882,0.488
IL33,-0.1347,0.874,0.597,1.2795,0.4885
CXCL10,0.0523,1.0537,0.9068,1.2245,0.4946
IFI6,0.0662,1.0684,0.8792,1.2983,0.5059
ICAM2,0.1004,1.1056,0.8208,1.4892,0.5089
LMNB1,0.1268,1.1352,0.7698,1.674,0.5223
FGL2,-0.0843,0.9191,0.7071,1.1948,0.5287
VAMP8,-0.1091,0.8966,0.6372,1.2616,0.5311
DOCK11,-0.1248,0.8826,0.5944,1.3107,0.5361
GMFG,-0.1016,0.9034,0.6492,1.2571,0.5467
TUBB2A,0.0819,1.0853,0.8281,1.4223,0.553
BANK1,-0.1942,0.8235,0.4247,1.5965,0.5653
S100A14,0.0693,1.0718,0.8443,1.3606,0.5689
SERPINA3,-0.0411,0.9597,0.833,1.1057,0.5692
C1QA,0.0664,1.0687,0.8488,1.3456,0.5719
MAPK13,-0.1035,0.9017,0.6189,1.3135,0.5897
CFH,-0.0672,0.935,0.7311,1.1958,0.5925
HELLS,-0.1406,0.8689,0.519,1.4547,0.593
CEACAM6,0.035,1.0357,0.9103,1.1782,0.5943
DTX1,0.1512,1.1633,0.6624,2.0428,0.5986
FZD5,-0.1691,0.8444,0.4461,1.5983,0.6034
POLR2H,0.1461,1.1573,0.6437,2.0808,0.6254
S100A7,0.026,1.0263,0.9239,1.1401,0.6285
LAIR1,-0.1367,0.8722,0.4951,1.5364,0.636
CXCL9,-0.031,0.9695,0.8487,1.1074,0.6476
KIF11,-0.0622,0.9397,0.7089,1.2457,0.6654
PROS1,0.0533,1.0548,0.8276,1.3444,0.6665
RASGRP1,-0.0475,0.9536,0.7644,1.1898,0.674
EDNRB,0.0861,1.0899,0.7281,1.6316,0.6757
MPEG1,-0.0545,0.947,0.7262,1.235,0.6878
ANG,-0.0602,0.9416,0.7017,1.2633,0.688
POLR2E,0.0901,1.0942,0.6973,1.7172,0.6953
PTGS2,-0.0822,0.9211,0.6099,1.3913,0.6962
MMP9,0.0298,1.0303,0.8828,1.2023,0.7051
FTL,0.0712,1.0738,0.7384,1.5616,0.7094
POLR2L,0.0855,1.0893,0.6663,1.7808,0.7332
LY96,-0.0396,0.9612,0.7634,1.2102,0.7364
FOXO1,-0.0943,0.91,0.5219,1.5868,0.7397
PLA2G2A,0.0658,1.068,0.7076,1.6121,0.7541
SERPING1,-0.0455,0.9555,0.718,1.2717,0.7551
PIAS3,-0.059,0.9427,0.6433,1.3813,0.762
SH3RF1,-0.0573,0.9443,0.6429,1.387,0.7702
DSP,0.0385,1.0392,0.8014,1.3477,0.7716
GPR183,-0.0448,0.9562,0.7044,1.2979,0.7737
ADAR,0.0791,1.0823,0.6262,1.8706,0.7769
KIF15,0.0391,1.0399,0.7799,1.3864,0.7899
CLEC10A,-0.0421,0.9588,0.6903,1.3318,0.8018
LILRB5,0.1406,1.1509,0.3705,3.5756,0.808
OPTN,0.0479,1.049,0.7087,1.5528,0.8109
GRP,-0.0304,0.9701,0.7549,1.2466,0.8123
PIK3R3,0.0452,1.0462,0.709,1.5439,0.8199
IRF7,-0.0367,0.9639,0.7004,1.3266,0.8216
ANXA1,0.0273,1.0277,0.8044,1.313,0.8269
JUP,-0.042,0.9589,0.6509,1.4127,0.8319
CACNB3,0.0487,1.0499,0.6696,1.6464,0.8319
CALM1,0.0829,1.0865,0.4875,2.4213,0.8393
ZBTB16,0.0264,1.0268,0.7889,1.3363,0.8443
RPS24,-0.0359,0.9647,0.6465,1.4397,0.8605
SDCBP,-0.028,0.9724,0.7056,1.3401,0.8642
FCGR2B,0.0273,1.0277,0.7385,1.43,0.8714
PGM1,0.0211,1.0213,0.7564,1.379,0.8905
CANT1,-0.0292,0.9713,0.6367,1.4816,0.8923
VSIG4,0.0181,1.0182,0.7784,1.332,0.895
HP,0.0275,1.0279,0.6656,1.5875,0.9013
RNF125,-0.0323,0.9682,0.5311,1.7651,0.916
PTGDS,0.015,1.0151,0.7623,1.3516,0.9185
CTSG,-0.0265,0.9738,0.5777,1.6416,0.9206
DUSP6,0.0131,1.0132,0.7749,1.3247,0.9238
KCNJ8,-0.0188,0.9813,0.6524,1.4761,0.928
ATP8B4,-0.0291,0.9713,0.5049,1.8686,0.9305
TAP1,0.0101,1.0102,0.7973,1.2798,0.9332
CAT,-0.0265,0.9738,0.5204,1.8222,0.9339
CTSD,-0.0071,0.993,0.7643,1.2901,0.9579
LAMA5,0.0096,1.0096,0.6843,1.4896,0.9614
IRS2,0.0053,1.0053,0.7697,1.3131,0.9688
RAP1GAP2,-0.0026,0.9974,0.738,1.3479,0.9864
GPX1,-0.0026,0.9974,0.7244,1.3733,0.9873
CCL2,0.0024,1.0024,0.7496,1.3403,0.9874
LGMN,0.0012,1.0012,0.7781,1.2883,0.9926
