sample_name,KLHL5,BLNK,SOX4,UBE2S,S100P,DEFB132,COLEC12,MICB,EIF4E3,GNS,ARF1,FBXL16,CFB,SOD2,TRIM45,MTHFD1,MDK,CEBPD,STAT5A,ACO1,TF
GSM1045232,5.675784,8.176911,7.1107,5.499969,10.905601,2.805635,5.413531,4.847497,4.413743,6.724362,6.462097,5.015013,5.508385,6.432234,6.778089,8.128111,5.220098,6.468169,6.194899,4.718493,3.995215
GSM1045233,4.779381,6.006544,8.05008,5.466325,8.592396,3.122057,5.909047,7.97177,4.61365,7.111135,6.250453,5.255372,6.202964,5.854255,5.895258,6.80392,7.166817,6.012945,6.293117,5.068214,4.272535
GSM1045234,5.422781,4.577004,7.71601,5.569773,10.186424,3.17273,7.473197,5.213435,4.246506,7.145948,5.673582,4.919398,6.544787,7.225079,5.797408,7.957793,6.81858,6.294216,6.268533,5.169871,3.876072
GSM1045235,5.095582,8.004403,7.839593,6.941434,9.68963,2.40677,7.058408,5.434291,5.373317,7.007853,6.949657,4.635102,5.685948,6.682231,6.011315,8.163036,6.601652,6.117734,7.034219,4.890701,4.244195
GSM1045236,4.944253,7.375812,7.440166,5.23243,9.06074,2.863798,6.341787,6.14049,5.381886,6.933374,6.827798,5.995925,6.743619,6.779962,5.85322,6.537097,8.012829,7.026989,7.207501,5.395879,5.468422
GSM1045237,4.797854,7.409083,7.900382,6.311063,11.38514,2.903086,5.544997,5.888817,5.035412,7.099458,7.043746,4.607654,6.624783,7.205975,5.207232,6.676582,9.761209,6.713447,6.70799,4.919779,4.37798
GSM1045238,4.190095,7.128635,7.621315,9.28157,10.525779,2.927005,7.113517,4.235791,4.654375,6.623169,5.687331,5.187861,5.806415,5.636775,5.98767,7.662056,7.275644,6.929995,6.245078,4.278515,4.18796
GSM1045239,4.821912,6.975018,7.693459,6.293662,8.650256,3.145578,6.215176,6.403572,4.520697,7.181875,6.630319,4.946201,5.7907,8.136625,6.163598,7.56452,9.019144,6.459823,6.904322,5.341967,4.82077
GSM1045240,5.354896,5.998432,6.951745,4.86612,5.982145,3.062297,7.642416,6.147866,4.611668,6.278653,6.320824,5.702785,6.485868,6.997557,7.047354,6.838337,6.585277,6.433912,6.471382,4.966769,4.327805
GSM1045241,4.437534,6.274697,7.929381,6.945472,5.306919,3.052573,6.422753,5.943748,4.457653,6.74715,6.453833,5.847382,5.662868,6.553928,6.496959,7.214466,7.180403,6.449298,6.762805,4.664576,4.40348
GSM1045242,4.147836,6.159448,7.93573,5.512304,7.202804,2.819769,4.867952,6.295734,3.972906,6.151742,7.250236,5.421215,4.790923,6.367324,5.650789,6.661461,7.55974,6.251165,5.264724,4.679272,4.415377
GSM1045243,4.525106,6.165837,7.410005,4.493823,7.37279,4.110108,5.598784,5.158028,4.74862,5.912457,6.842536,5.628112,5.922709,6.061572,5.588747,6.10703,5.272603,6.31683,6.869511,5.508994,5.447974
GSM1045244,4.882567,5.80939,7.448672,4.454343,7.21523,3.38536,5.498125,5.78711,4.650726,6.268692,6.959913,5.655127,7.500257,6.864668,6.895834,6.954096,6.95436,6.231935,6.507777,4.627697,4.231024
GSM1045245,4.681498,6.01457,7.226902,4.443199,8.524043,2.983519,7.229323,5.525954,4.960239,7.655739,6.543761,5.338802,5.70948,8.759094,5.410965,7.622776,4.862347,6.133484,6.339556,5.365601,3.839585
GSM1045246,4.821943,5.92059,8.293184,6.335815,8.605204,2.914229,6.060358,7.470946,4.354914,6.764977,7.337919,6.037162,7.441444,6.423191,6.359957,8.346514,6.701778,6.577379,5.710806,5.69112,4.515875
GSM1045247,5.082865,5.058472,6.622246,6.48707,4.800694,2.949049,5.845273,4.810706,5.026234,6.709508,6.635611,6.135849,7.989867,4.885699,6.326562,7.779429,8.267638,5.302192,6.752198,4.671078,4.045842
GSM1045248,5.003034,3.302451,5.966316,7.12916,9.692874,2.607208,4.938791,9.32252,3.667623,7.174324,7.441588,4.910566,8.32199,9.148003,5.068706,8.736884,8.497841,7.320175,6.232007,5.355003,3.904244
GSM1045249,5.06384,5.674251,6.934058,5.099129,7.423145,3.142265,5.67072,5.690151,4.765641,6.751488,6.377037,6.381114,7.656975,7.158757,6.150125,7.660675,7.354601,5.706393,6.355361,5.158689,3.908529
GSM1045250,4.17367,5.174034,8.24997,6.040435,11.103249,2.90255,4.405342,5.014864,3.812632,5.984697,7.820802,4.638599,7.705255,7.65019,5.937554,7.260777,7.574996,7.045663,5.588508,4.716795,7.48153
GSM1045251,6.383432,6.700114,7.019094,4.148361,6.787677,3.1305,6.582506,7.28107,5.051612,6.698169,6.900398,5.602072,7.25939,6.087483,6.827696,7.569149,6.223225,5.455449,7.170745,5.157478,4.490648
